MasterID,UniqueID,Long,Lat,Sensor,Image,Global_AEZ,Country,StudyArea,Year,Month,JulianDay,Crop,PlotID,Wavelength,Reflectance
3000085,ALSHA0908.1.2011,-119.3164471,35.47906333,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0908,428,2.295020901
3000086,ALSHA0909.1.2011,-119.3164564,35.47932995,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0909,428,2.536016282
3000087,ALSHA0910.1.2011,-119.3167634,35.47907079,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0910,428,2.391324567
3000088,ALSHA1001.1.2011,-119.3179114,35.47831843,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA1001,428,2.569983144
3000089,ALSHA1002.1.2011,-119.3179368,35.47858824,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA1002,428,2.595076186
3000090,ALSHA1003.1.2011,-119.3179214,35.47887423,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA1003,428,2.627928983
3000091,ALSHA1004.1.2011,-119.3175794,35.47887716,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA1004,428,2.67034265
3000092,ALSHA1005.1.2011,-119.31757,35.47859109,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA1005,428,2.944347729
3000093,ALSHA1006.1.2011,-119.3175444,35.47834416,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA1006,428,2.558597355
3000094,ALSHA1007.1.2011,-119.3172317,35.47832304,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA1007,428,3.222641495
3000095,ALSHA1008.1.2011,-119.3172275,35.47861179,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA1008,428,3.376514515
3000096,ALSHA1009.1.2011,-119.317224,35.47887297,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA1009,428,2.474832967
3000097,ALSHA1010.1.2011,-119.3175442,35.47864876,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA1010,428,2.92711621
3000098,ALSHB0101.1.2011,-119.2963752,35.5274565,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHB0101,428,9.559058428
3000099,ALSHB0102.1.2011,-119.2963577,35.52717403,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHB0102,428,10.12504183
3000100,ALSHB0103.1.2011,-119.2963433,35.52692131,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHB0103,428,7.438282633
3000101,ALSHB0104.1.2011,-119.2967285,35.5269131,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHB0104,428,10.25522494
